Time_s,Pos_err_norm_m,Ori_err_norm_rad,Jerk_norm_m_s3
1.364302396774291992e+00,5.892539531559728427e-01,1.556479021531669282e+00,7.674143365732223174e+03
1.372657299041748047e+00,5.887454452856349940e-01,1.565807712994090828e+00,1.051872746134924228e+03
1.378562450408935547e+00,5.882837137792493731e-01,1.568350837187566515e+00,6.142152647198491877e+02
1.383283853530883789e+00,5.878365208231194350e-01,1.565145328262732116e+00,7.459935184911034867e+02
1.386268377304077148e+00,5.874343058066966439e-01,1.555900394215917970e+00,3.083481200552836071e+03
1.394084930419921875e+00,5.868244745107010774e-01,1.546052176959952895e+00,3.701032689519072392e+03
1.400503873825073242e+00,5.862678582983592568e-01,1.530734924249894657e+00,3.981264901297080314e+02
1.402841091156005859e+00,5.858955344990683933e-01,1.507992763836445427e+00,5.328991041504377790e+03
1.406226396560668945e+00,5.854889436144377068e-01,1.483048165465862489e+00,5.810679488143552589e+03
1.409943819046020508e+00,5.850736678099719423e-01,1.456324380289934162e+00,2.123325382623205769e+03
1.421400547027587891e+00,5.842699185239792481e-01,1.435047870141773707e+00,1.758039355952006645e+03
1.424728631973266602e+00,5.838552917173464030e-01,1.406455190806096711e+00,1.734840182397362469e+03
1.432342767715454102e+00,5.832014199145940658e-01,1.380992954650011484e+00,2.084415657265282334e+03
1.435659885406494141e+00,5.827645257277389579e-01,1.351082102253620132e+00,4.375540927587081569e+03
1.439307212829589844e+00,5.823202409390152434e-01,1.317626446683424657e+00,2.835309717399666170e+03
1.442983865737915039e+00,5.818725623781747514e-01,1.281884984837573294e+00,2.088391027560218390e+03
1.447124958038330078e+00,5.813787356240647242e-01,1.245643357874556045e+00,1.921637715687486661e+03
1.450016498565673828e+00,5.809284560965820576e-01,1.208915968447572542e+00,3.306328160691828998e+03
1.452075958251953125e+00,5.804773021934875876e-01,1.174776656217239257e+00,5.618950445500660862e+03
1.454135894775390625e+00,5.799607933745273280e-01,1.144563452219238942e+00,3.008980861210993680e+03
1.456197500228881836e+00,5.793650092594609946e-01,1.118519328497385112e+00,2.291991776367620332e+03
1.458787441253662109e+00,5.786412288171842722e-01,1.096960455223562336e+00,2.795375095636692095e+03
1.462594509124755859e+00,5.777277253793674516e-01,1.080029832779158649e+00,3.442894562934938676e+03
1.470578193664550781e+00,5.763927165964078947e-01,1.068868628668695253e+00,2.414298098425904755e+03
1.473357915878295898e+00,5.753152541215120763e-01,1.058336507112406011e+00,4.729277247963378613e+03
1.480668306350708008e+00,5.737713078329387262e-01,1.052987671264082659e+00,4.722309135678326129e+03
1.483174800872802734e+00,5.724691078448399528e-01,1.047850379566439338e+00,8.947660075971731203e+03
1.485327720642089844e+00,5.710446249359756310e-01,1.043950634315976345e+00,2.282257374940852060e+03
1.498007059097290039e+00,5.686296821765537413e-01,1.046574065600403447e+00,7.795463765735014931e+03
1.504394531250000000e+00,5.666186709011016287e-01,1.049782849250437744e+00,3.773902455396440132e+02
1.507868289947509766e+00,5.647627905139905868e-01,1.054979106224041896e+00,9.901564989387800324e+02
1.517608165740966797e+00,5.622912629630993919e-01,1.066907303219187808e+00,1.262540880983563284e+03
1.520657300949096680e+00,5.603236752225217998e-01,1.077975291976646988e+00,1.062790823360995546e+03
1.524007797241210938e+00,5.582681644955094225e-01,1.091832627285221458e+00,7.597669358317757542e+02
1.528970241546630859e+00,5.560102924019090231e-01,1.109286344268949343e+00,7.661785843734935497e+02
1.533304929733276367e+00,5.537537061694272067e-01,1.128535188150133983e+00,3.526191700820533015e+02
1.535675764083862305e+00,5.516246508184078357e-01,1.148172882662464644e+00,2.930880142855891791e+03
1.538777828216552734e+00,5.493864642291585998e-01,1.169700178224353460e+00,1.291345120486615542e+03
1.541287660598754883e+00,5.471691220406345035e-01,1.190963258946646341e+00,4.407379401707185025e+03
1.545267343521118164e+00,5.447881396236302631e-01,1.212710960885783784e+00,2.045437743423431812e+03
1.548954725265502930e+00,5.424147741554232738e-01,1.232225192685656223e+00,1.094869290459229433e+03
1.551014423370361328e+00,5.401842025734849839e-01,1.247119959011754986e+00,7.520427137604992822e+03
1.553073883056640625e+00,5.379409230706315714e-01,1.258474257563299892e+00,1.417252006553454521e+03
1.555133819580078125e+00,5.356829299155257962e-01,1.265994117858052048e+00,1.915690043952459291e+03
1.557600259780883789e+00,5.333653764071975001e-01,1.270078295833212190e+00,4.102768422175757223e+03
1.560369014739990234e+00,5.309925648174488311e-01,1.270805447720531722e+00,2.188759433419256311e+03
1.563339948654174805e+00,5.285698411142338848e-01,1.268352332140498362e+00,1.985140729278778235e+04
1.566689252853393555e+00,5.263022854101222503e-01,1.264382511581881641e+00,3.012585449879892622e+03
1.575046062469482422e+00,5.236635213653370036e-01,1.264754116352555080e+00,3.402988335092951274e+03
1.584082126617431641e+00,5.210677275332946667e-01,1.264617340727862471e+00,2.892591623462702728e+02
1.590457439422607422e+00,5.188652374645708054e-01,1.259556786882940260e+00,2.091744923095889419e+02
1.600414276123046875e+00,5.163351037503299823e-01,1.258096085524259555e+00,5.410919149918204312e+02
1.604087114334106445e+00,5.145905455113078952e-01,1.246861267386356831e+00,8.089261483621627349e+02
1.610471248626708984e+00,5.125865568265621786e-01,1.238330436606252416e+00,1.134012280425758036e+03
1.616539955139160156e+00,5.106576456589059232e-01,1.228596120177051221e+00,1.933775249782644039e+02
1.629768371582031250e+00,5.078691069483523002e-01,1.229316397142764083e+00,2.594711506023525658e+02
1.636225938796997070e+00,5.059076160178546111e-01,1.219809601498360596e+00,5.936175019313919847e+02
1.641344308853149414e+00,5.040608476629061530e-01,1.208081926943136652e+00,2.681942133412100588e+02
1.648223161697387695e+00,5.019302395851161780e-01,1.199501719925770260e+00,3.952985831342778056e+02
1.651416778564453125e+00,5.002179998733697897e-01,1.185516814086312154e+00,1.188205156554193536e+03
1.654227256774902344e+00,4.984985540261053782e-01,1.171748128537513312e+00,1.388642431435276421e+03
1.656751632690429688e+00,4.967521962118022771e-01,1.158396659004239160e+00,1.612952164399185676e+03
1.659490108489990234e+00,4.949057840025942179e-01,1.146359341145003041e+00,5.921250576893397010e+03
1.663424491882324219e+00,4.927860865846663829e-01,1.135153528969120140e+00,2.776632565357519979e+03
1.667208671569824219e+00,4.905740768438400790e-01,1.123183445568792127e+00,3.131028994809706205e+02
1.675255537033081055e+00,4.876603852879307643e-01,1.117944609763265484e+00,3.116338981609120310e+03
1.683277606964111328e+00,4.846888344073021493e-01,1.116507764361773791e+00,3.226237342139940978e+01
1.687222957611083984e+00,4.822381613675293943e-01,1.111731564175586051e+00,8.625182061465358174e+02
1.692082643508911133e+00,4.796061860555924650e-01,1.111127767417592116e+00,5.450625772110490743e+02
1.704269647598266602e+00,4.758507883079297618e-01,1.125241690841128017e+00,6.062784498459658380e+02
1.707492589950561523e+00,4.733447798149736374e-01,1.126235739499350519e+00,1.091155654809582529e+03
1.715101003646850586e+00,4.701390200481162518e-01,1.136464257852175308e+00,1.230247550368644170e+03
1.717900276184082031e+00,4.676023438315742853e-01,1.139310974789814912e+00,1.675744251784573407e+03
1.720167636871337891e+00,4.651052258778294313e-01,1.141903172136264466e+00,1.440777166251292556e+03
1.731161594390869141e+00,4.612355551680042409e-01,1.161405620317236487e+00,2.234914655006224621e+03
1.735321521759033203e+00,4.583230991014797251e-01,1.165437304203940982e+00,1.033153712023372236e+03
1.739213705062866211e+00,4.553827501293839508e-01,1.166224676994124909e+00,4.697640382611123187e+02
1.741717338562011719e+00,4.526001013306468201e-01,1.161959157820794841e+00,7.525093305530497673e+03
1.746757984161376953e+00,4.494184898381509141e-01,1.163938657049630176e+00,3.401841675840926200e+03
1.749774217605590820e+00,4.465528924097513230e-01,1.163092988016691809e+00,7.894536078196030758e+03
1.752583265304565430e+00,4.438836339286973409e-01,1.162106489533880183e+00,9.076137257888037766e+02
1.754643440246582031e+00,4.414774388142230221e-01,1.159751598484995760e+00,1.395175013614465115e+03
1.756703853607177734e+00,4.391917556870831851e-01,1.157290736577703205e+00,3.383218878683761886e+03
1.759569406509399414e+00,4.368723406419469102e-01,1.156122908697446050e+00,3.819673037020812899e+03
1.763166427612304688e+00,4.345096274108773970e-01,1.156077382046304614e+00,5.404200781897150591e+03
1.766227960586547852e+00,4.322210628631725782e-01,1.154936949501650378e+00,3.806950525776526320e+03
1.768359422683715820e+00,4.300381302085741209e-01,1.149819627493894325e+00,2.279693851624601848e+03
1.773915529251098633e+00,4.272544721107477406e-01,1.149006053069007605e+00,4.442989498985142745e+03
1.780495166778564453e+00,4.242996741188212462e-01,1.150796156705002238e+00,2.981020228542649306e+02
1.785690307617187500e+00,4.215693926604234809e-01,1.150590214318901294e+00,3.049873244514889734e+02
1.787847757339477539e+00,4.193411935826982240e-01,1.145201441284920518e+00,4.350693026912529604e+03
1.798503875732421875e+00,4.156667699221640588e-01,1.153319094942177436e+00,2.417648202720100471e+03
1.801778793334960938e+00,4.131866277862053516e-01,1.146511518598581025e+00,1.232983162925707575e+03
1.806172847747802734e+00,4.104966245535896507e-01,1.140392885483355601e+00,1.016486410767548023e+03
1.808668375015258789e+00,4.081059779100478790e-01,1.130182483888426459e+00,1.763819057928824805e+03
1.820051193237304688e+00,4.042122181671101155e-01,1.134037579630198911e+00,1.651778425430142988e+03
1.828095912933349609e+00,4.008678933977553038e-01,1.131698264621716632e+00,1.559990878202167437e+02
1.832708120346069336e+00,3.981010946460205591e-01,1.123515708067301722e+00,5.723990991195529432e+02
1.835032463073730469e+00,3.957261836269121424e-01,1.112168064580696392e+00,2.458677182838506724e+03
1.837718248367309570e+00,3.933020912378750178e-01,1.102135069931879485e+00,1.300156540415861627e+03
1.840318679809570312e+00,3.909069620435446368e-01,1.093087129023686765e+00,1.041953747371700047e+03
1.843326330184936523e+00,3.884613880464640734e-01,1.085800797980644106e+00,7.712762164888637244e+02
1.846530914306640625e+00,3.860036439032276667e-01,1.080076883807674415e+00,4.029018718733433388e+02
1.849375486373901367e+00,3.836294446398375579e-01,1.075436664465401426e+00,1.018581652674907104e+03
1.851434469223022461e+00,3.814116929381483612e-01,1.071680368789688309e+00,5.087648749986948133e+03
1.853493928909301758e+00,3.792335389379029031e-01,1.069430632435531159e+00,8.576433574896074788e+03
1.855551958084106445e+00,3.771128668993340982e-01,1.068480998918836189e+00,1.823476512236260305e+03
1.857615709304809570e+00,3.750496487375944432e-01,1.068657587602631631e+00,2.482013465723480294e+02
1.862683773040771484e+00,3.725551871796137782e-01,1.070755384815037736e+00,6.354937340184671484e+03
1.865982532501220703e+00,3.704068839726474827e-01,1.072706922060781887e+00,1.804496090539173110e+03
1.869532585144042969e+00,3.682772539708567550e-01,1.075093796442755378e+00,6.506156744646809784e+02
1.882113218307495117e+00,3.647748694220196986e-01,1.079614788743727294e+00,1.891511771782951882e+03
1.884662866592407227e+00,3.629350661575702630e-01,1.081689191878486556e+00,2.519521755120897978e+03
1.889699220657348633e+00,3.607758585991298617e-01,1.084162178426059331e+00,3.312379294970408864e+03
1.904529094696044922e+00,3.571913169214003259e-01,1.088432082320383465e+00,8.342598435493681563e+02
1.907961368560791016e+00,3.554447394406568539e-01,1.089814933975108424e+00,1.141915139631082411e+03
1.914803981781005859e+00,3.532728836985682408e-01,1.091485392853448255e+00,1.445373275320886250e+03
1.921053409576416016e+00,3.512847303923442022e-01,1.092503813727538464e+00,6.327329549726613322e+01
1.925220012664794922e+00,3.496939970573799128e-01,1.092517371768691792e+00,4.984983769455595279e+02
1.932135343551635742e+00,3.478024807742207125e-01,1.092541028936205416e+00,7.507567514414469088e+02
1.934827089309692383e+00,3.466017204980912925e-01,1.091158551788260711e+00,1.426887420843935388e+03
1.937847375869750977e+00,3.454389617316946381e-01,1.089348941599262544e+00,7.849439012749168114e+02
1.940323591232299805e+00,3.444314856916468881e-01,1.087019081973010337e+00,5.889904215792738569e+02
1.945050716400146484e+00,3.431998973573887057e-01,1.084642550605524836e+00,1.625059012524583522e+03
1.948746681213378906e+00,3.421858537472576844e-01,1.081783389119084227e+00,2.733237671719269315e+02
1.950807809829711914e+00,3.414572317757657016e-01,1.078450484360022665e+00,1.546496308179175685e+03
1.952866554260253906e+00,3.407936613595554110e-01,1.074945792176983161e+00,7.611963557916235459e+02
1.954927206039428711e+00,3.401898443512669790e-01,1.071344136732868657e+00,7.113066632411970431e+02
1.956985712051391602e+00,3.396415591848708226e-01,1.067714483494932143e+00,6.466313415188155886e+02
1.959801197052001953e+00,3.390531418409187259e-01,1.064159888056083636e+00,1.167475511732889572e+03
1.962909221649169922e+00,3.384801543259444156e-01,1.060693813482217696e+00,3.172059143832776726e+02
1.965795040130615234e+00,3.379803317643451654e-01,1.057333007449155815e+00,2.779552011225866863e+02
1.967854976654052734e+00,3.376167278862626797e-01,1.054096945383553363e+00,1.336958363557714392e+03
1.970347642898559570e+00,3.372419670993951901e-01,1.051063385150689866e+00,7.678217448481286738e+02
1.982599020004272461e+00,3.358706602560529442e-01,1.048662790933262645e+00,1.005397972374967139e+03
